place_id,place_name,city,category,activities,province,duration,budget_level,tourist_type,description,latitude,longitude,image
1,Ilam & Kanyam Tea Region,Ilam,Nature,"Tea Garden Visit,Photography,Nature Walk,Sightseeing",Koshi Province,1 Day,Low,Both,"Nestled in the rolling hills of eastern Nepal, this scenic region is celebrated as the tea capital of the country. Endless stretches of manicured, vibrant green tea estates drape over the hillsides, creating a mesmerizing tapestry. It serves as a beloved getaway for domestic travelers seeking a cool escape from the hot lowlands. Visitors can stroll through fragrant plantation pathways, interact with local tea pluckers, and photograph the rolling mist. The area also offers sweeping panoramic views of the plains below and distant Himalayan peaks on clear days. It remains an ideal destination for nature walks, landscape photography, and tasting farm-fresh orthodox tea.",26.9289,87.9378,ilam_kanyam.jpg
2,Bhedetar Namaste Waterfall,Dharan,Nature,"Sightseeing,Hiking,Photography",Koshi Province,1 Day,Low,Both,"Situated along the scenic Koshi Highway, this bustling hill station is one of eastern Nepal's most popular weekend retreats. It is highly favored for its perennially cool, refreshing climate and strategic viewpoints overlooking the plains. The crown jewel of the area is the beautiful Namaste Waterfall, cascading down a lush green canyon. Travelers flock here for light hiking, family picnics, and photography against the dramatic, rocky backdrop. The surrounding hills are frequently enveloped in rolling fog, adding a mystical charm to the landscape. It offers a perfect blend of roadside accessibility, refreshing mountain air, and scenic natural beauty.",26.8156,87.2794,Namaste_Waterfall.jpg
3,Pathibhara Temple,Taplejung,Cultural,"Pilgrimage,Hiking,Sightseeing,Photography",Koshi Province,4-6 Days,Medium,Both,"Perched majestically at an altitude of 3,794 meters, this sacred hilltop shrine is a revered pilgrimage site. It holds immense religious significance for both Hindu and Limbu communities, attracting thousands of devotees annually. The journey features a challenging hike through pristine rhododendron forests, alpine ridges, and traditional mountain villages. Upon reaching the summit, pilgrims are rewarded with awe-inspiring, up-close panoramas of the Kanchenjunga massif. The temple atmosphere is profoundly spiritual, filled with the continuous ringing of bells and fluttering prayer flags. It provides a deeply moving combination of rigorous high-altitude trekking and profound cultural devotion.",27.4338,87.7812,pathibhara.jpg
4,Halesi Mahadev Temple,Khotang,Cultural,"Pilgrimage,Temple Visit,Sightseeing",Koshi Province,2 Day,Low,Both,"Tucked away inside a mysterious limestone cave complex, this highly revered shrine is steeped in ancient myths. Known as the 'Pashupatinath of the East', it serves as a major pilgrimage destination in eastern Nepal. The site holds profound historical and spiritual importance equally for Hindu devotees and Tibetan Buddhist practitioners. It is traditionally believed to be the sacred site where Lord Shiva hid from the demon Bhasmasura. The geological formations inside the cave feature impressive stalactites and stalagmites worshiped as natural deities. It offers visitors a unique, deeply spiritual atmosphere coupled with fascinating natural cave exploration.",27.3313,86.5434,haleshi.jpg
5,Everest Base Camp,Lukla,Trekking,"Hiking,Camping,Helicopter Tour",Koshi Province,12-14 Days,High,Both,"Representing the ultimate dream for global trekkers, this iconic route leads to the foot of the world's highest peak. The journey begins with a thrilling flight into Lukla and winds upward through the heart of Khumbu. Trekkers traverse vibrant Sherpa capitals like Namche Bazaar, ancient monasteries, and dramatic suspension bridges over roaring rivers. The trail offers unparalleled, jaw-dropping views of Everest, Lhotse, Ama Dablam, and countless neighboring giants. It demands strong physical endurance to cope with the challenging terrain and rapidly increasing high altitude. This world-renowned destination delivers a life-changing adventure amidst the most spectacular alpine scenery on earth.",28.0043,86.8571,everest_base_camp.jpg
6,Kanchenjunga Base Camp,Taplejung,Trekking,"Hiking,Camping,Photography",Koshi Province,18-21 Days,High,Both,"Centering around the world's third-highest peak, this remote destination offers an exceptional wilderness trekking experience. Located in the far northeastern corner of Nepal, the trail explores untamed, isolated mountain valleys. It features an incredible diversity of landscapes, ranging from subtropical lowlands to massive, stark glacial moraines. The region is highly pristine and experiences low tourist traffic, preserving its authentic, raw Himalayan character. Trekkers get to experience the distinct lifestyle and unique cultural heritage of the local Limbu and Rai communities. It stands as an elite, challenging trek best suited for seasoned adventurers seeking solitude and raw nature.",27.7025,88.1475,kanchenjunga.jpg
7,Makalu Base Camp Trek,Sankhuwasabha,Trekking,"Hiking,Camping,Photography",Koshi Province,18-21 Days,High,Both,"Traversing the remarkably biodiverse Makalu Barun National Park, this rugged trek is an absolute paradise for wilderness lovers. The trail stands out for its dramatic altitude changes, climbing steeply from deep tropical gorges to frozen alpine targets. It provides breathtakingly close views of Mt. Makalu's sheer, imposing granite faces and the surrounding high peaks. Because it is highly isolated, hikers must rely heavily on wilderness camping and self-sufficient expedition setups. The national park protects rare wildlife species, including the elusive red panda, snow leopards, and hundreds of birds. It is a demanding, world-class adventure that rewards trekkers with unmatched Himalayan scenery and absolute solitude.",27.8897,87.0883,Makalu_koshi.jpg
8,Sun Koshi River Rafting,Sindhuli,Adventure,"White Water Rafting,Kayaking,Camping",Koshi Province,2-3 Days,Medium,Both,"Renowned globally as one of the premier rafting rivers, this waterway offers an unforgettable multi-day river expedition. Originating high in the Himalayas, it flows eastward through dramatic gorges, deep valleys, and forested hills. The river features an exciting progression of whitewater, starting with gentle waves and building up to massive rapids. Rafters and kayakers spend their days navigating turbulent waters and their nights camping on pristine, sandy wilderness beaches. The journey provides a unique perspective of rural Nepal, passing remote riverside villages and hanging suspension bridges. It delivers the perfect mix of high-adrenaline watersports, tranquil wilderness floating, and scenic outdoor camping.",27.548,86.054,sun koshi river rafting.jpg
9,Paragliding in Dharan & Bhedetar,Dharan,Adventure,"Paragliding,Photography,Sightseeing",Koshi Province,2-3 Days,Medium,Both,"Capitalizing on the ideal thermal currents of the eastern hills, this adventure activity provides an unmatched aerial experience. The tandem flights typically launch from the scenic ridges of Bhedetar and glide gracefully over Dharan city. Paragliders enjoy a thrilling bird's-eye view of lush sub-tropical forests, rolling hills, and vast terraced farmland. On clear days, the flight offers expansive views extending all the way to the southern Terai plains. Professional pilots ensure safety, making it accessible to both absolute beginners and seasoned adrenaline seekers. It has rapidly transformed the region into a vibrant hub for domestic adventure tourism and photography.",26.8125,87.2833,paragliding(koshi).jpg
10,The Terai Lowlands,Terai,Wildlife,"Bird Watching,Nature Walk,Photography",Koshi Province,2-3 Days,Low,Both,"Stretching across the southern belt of the province, this vast landscape consists of fertile plains and dense forests. The region is characterized by extensive, rich grasslands and vital riverine wetlands that attract incredible biodiversity. It serves as a crucial habitat for hundreds of resident and migratory bird species throughout the year. Visitors can explore the peaceful rural country side, witnessing the traditional farming lifestyle of the indigenous communities. The open plains provide excellent opportunities for landscape photography, peaceful nature walks, and dedicated birdwatching excursions. It offers a distinct contrast to Nepal's mountainous north, highlighting the country's diverse geographical zones.",26.65,87.15,The Terai Lowlands.png
11,Koshi Tappu Wildlife Reserve,Sunsari,Wildlife,"Safari,Bird Watching,Photography,Boat Ride",Koshi Province,2-3 Days,Medium,Both,"Sprawling across the massive floodplain of the Sapta Koshi River, this reserve is Nepal's premier birdwatching haven. It consists of a beautiful mosaic of mudflats, reed beds, fresh wetlands, and tall riverine grasslands. The reserve is globally famous for harboring the last remaining population of endangered wild water buffaloes (Arna). Over 500 species of migratory and residential birds can be spotted here, especially during the winter months. Visitors can enjoy peaceful elephant-back safaris, guided jungle walks, and scenic boat rides along the calm river channels. It provides a remarkably tranquil escape tailored perfectly for wildlife photographers, researchers, and nature enthusiasts.",26.648,86.975,koshi-tappu.jpg
12,Salhesh Fulbari,Siraha,Nature,"Nature Walk,Photography,Sightseeing",Madhesh Province,1 Day,Low,Both,"Located in the Siraha district, this historic and mystical forest patch holds an enchanted place in local folklore. It is celebrated for its ancient, twisting trees that harbor a unique botanical phenomenon found nowhere else. Every single year, precisely on the first day of the Nepali New Year, rare orchids bloom beautifully. Local legend associates these miraculous flowers with the heroic love story of the folk deity King Salhesh. A massive cultural fair takes place during this time, drawing thousands of curious tourists and faithful devotees. It is a fascinating destination that seamlessly blends botanical mysteries, rich cultural heritage, and local nature photography.",26.7358,86.0844,Salahesh_Fulbari.jpg
